iteration,loss,training_acc,test_acc
543,0.6160358126740791,0.75,0.75
544,0.616934158987505,0.75,0.75
545,0.6152332016694161,0.75,0.75
546,0.6171757216325489,0.75,0.75
547,0.6186417194224549,0.75,0.75
548,0.6143431862822997,0.75,0.75
549,0.61387637388775,0.75,0.75
550,0.6139135150370765,0.78125,0.75
551,0.6193580754947752,0.9375,0.9375
552,0.6137752891135206,0.75,0.75
553,0.6137680301650957,0.75,0.75
554,0.6140903275150231,0.75,0.75
555,0.6165505994211289,0.75,0.75
556,0.6138226423311604,0.921875,0.875
557,0.6157589355079472,0.75,0.75
558,0.6136275369864397,0.75,0.75
559,0.6158214740549264,0.75,0.75
560,0.6154260171151409,0.78125,0.875
561,0.6165316904280539,0.75,0.75
562,0.6133937290623886,0.75,0.75
563,0.6176061752358333,0.75,0.75
564,0.6130694778822223,0.75,0.75
565,0.606281994301678,0.75,0.75
566,0.6060383128664342,0.75,0.75
567,0.6083455856661951,0.75,0.75
568,0.6049660384407711,0.75,0.75
569,0.6063999570674143,0.890625,0.875
570,0.6063292965519712,0.75,0.75
571,0.6079304098947013,0.75,0.75
572,0.6071924549687253,0.75,0.75
573,0.6042470646494165,0.75,0.75
574,0.6048185590663899,0.75,0.75
575,0.6086559030941946,0.78125,0.75
576,0.606609585552057,0.75,0.75
577,0.6054958460554268,0.75,0.75
578,0.6035049492568103,0.75,0.75
579,0.6014994408476947,0.75,0.75
580,0.6001412239826561,0.75,0.75
581,0.6033661255329952,0.75,0.75
582,0.6035589951348697,0.75,0.75
583,0.5977374144305936,0.75,0.75
584,0.5959760425000492,0.75,0.75
585,0.5999634545775094,0.75,0.75
586,0.5959645331946275,0.75,0.75
587,0.6003867641184224,0.75,0.75
588,0.5962785895304373,0.75,0.75
589,0.5980680879604526,0.75,0.75
590,0.5961131191279789,0.75,0.75
591,0.5983980392909188,0.75,0.75
592,0.5958182969196174,0.75,0.75
593,0.5983874360584731,0.75,0.75
594,0.5973247108124895,0.75,0.75
595,0.5990301842852365,0.75,0.75
596,0.5953286104968304,0.75,0.75
597,0.5996903692607307,0.75,0.75
598,0.5955604546271229,0.75,0.75
599,0.5955412926387085,0.75,0.75
600,0.5960262760036339,0.75,0.75
601,0.5967534341809575,0.75,0.75
602,0.5962187923424414,0.75,0.75
603,0.5968618715559684,0.75,0.75
604,0.5966661616967358,0.75,0.75
605,0.6048615729045328,0.75,0.75
606,0.5955367541783955,0.75,0.75
607,0.5975937950490627,0.75,0.75
608,0.5972447062270164,0.75,0.75
609,0.5982992533659266,0.75,0.75
610,0.5953312194186424,0.75,0.75
611,0.5953204653364801,0.75,0.75
612,0.5958459945355988,0.75,0.75
613,0.596586996575305,0.78125,0.75
614,0.5975689660345733,0.765625,0.75
615,0.594646926841199,0.75,0.75
616,0.5962643612823854,0.75,0.75
617,0.5979870195079169,0.75,0.75
618,0.5946894464033086,0.75,0.75
619,0.5950668176987666,0.75,0.75
620,0.594632524629767,0.75,0.75
621,0.5939922766162369,0.75,0.75
622,0.5969217752664301,0.75,0.75
623,0.5965773704442869,0.75,0.75
624,0.5949719865595835,0.75,0.75
625,0.595794359132372,0.90625,0.875
626,0.5940402978927445,0.75,0.75
627,0.5977726908917992,0.75,0.75
628,0.5940966736241431,0.75,0.75
629,0.6023228248507283,0.75,0.75
630,0.5937166196863282,0.75,0.75
631,0.6019937874870281,0.75,0.75
632,0.5921022681269326,0.765625,0.75
633,0.5895280102034365,0.734375,0.75
634,0.5910008754977341,0.734375,0.75
635,0.5942970303213149,0.75,0.75
636,0.5925371832153022,0.734375,0.75
637,0.5935044550443227,0.75,0.75
638,0.5885409373659873,0.734375,0.8125
639,0.5927504808658268,0.75,0.75
640,0.5912036920315409,0.734375,0.75
641,0.589126583491046,0.890625,0.9375
642,0.5893503056426008,0.890625,0.9375
643,0.5937623661573362,0.75,0.75
644,0.5907027980687954,0.75,0.75
645,0.5898672954345536,0.734375,0.8125
646,0.5878261591528913,0.734375,0.8125
647,0.5925685091048897,0.859375,0.9375
648,0.5862422845653711,0.75,0.9375
649,0.5911564882614386,0.875,0.9375
650,0.5866367542699031,0.734375,0.8125
651,0.5849686547708216,0.734375,0.8125
652,0.5856045951963118,0.8125,0.9375
653,0.5952341160009433,0.734375,0.75
654,0.5854068185921544,0.734375,0.8125
655,0.5904779845944479,0.75,0.875
656,0.585467575491533,0.75,0.75
657,0.5873897480608254,0.75,0.875
658,0.5883377073353135,0.734375,0.75
659,0.5861188684739991,0.875,0.9375
660,0.5879381734712394,0.75,0.9375
661,0.5855122999046708,0.890625,0.9375
662,0.5840334141720087,0.875,0.9375
663,0.5842959192204198,0.75,0.9375
664,0.5841868303944309,0.75,0.9375
665,0.582658596972694,0.75,0.75
666,0.5859541326113615,0.8125,0.75
667,0.5878108471995709,0.75,0.75
668,0.5849153119861733,0.75,0.75
669,0.5840271718699047,0.75,0.75
670,0.582675066862629,0.75,0.75
671,0.5865097257764278,0.75,0.75
672,0.5825890817603876,0.75,0.75
673,0.5831905428810968,0.75,0.75
674,0.5819861746380823,0.75,0.75
675,0.5835515239616024,0.875,0.8125
676,0.5819760857808297,0.890625,0.8125
677,0.5899705031664905,0.734375,0.8125
678,0.581767045229776,0.765625,0.75
679,0.5806255079240521,0.75,0.75
680,0.581944385551133,0.75,0.75
681,0.5845373817746173,0.75,0.75
682,0.5814955829191123,0.75,0.75
683,0.5849547970333928,0.75,0.75
684,0.5804389798159784,0.75,0.75
685,0.5816634290266556,0.75,0.75
686,0.5807973019134554,0.75,0.75
687,0.5789632975612595,0.75,0.75
688,0.5788149046763669,0.75,0.75
689,0.5813451082888612,0.75,0.75
690,0.5791913862134159,0.75,0.75
691,0.5818236845831194,0.75,0.75
692,0.5779240542353813,0.75,0.75
693,0.5809759133161425,0.75,0.75
694,0.5781473634155055,0.75,0.75
695,0.5801696327762289,0.75,0.75
696,0.5808789458371028,0.75,0.75
697,0.5797488461087248,0.75,0.75
698,0.576837978894534,0.828125,0.75
699,0.5831442877214349,0.75,0.75
700,0.5788010407707386,0.8125,0.75
701,0.577865012197725,0.734375,0.875
702,0.57749325316053,0.890625,0.9375
703,0.5731635884292834,0.890625,0.8125
704,0.5734190751990166,0.890625,0.8125
705,0.5736173964991124,0.78125,0.75
706,0.5730387682812406,0.890625,0.8125
707,0.5766834902854265,0.8125,0.75
708,0.5739469851623786,0.84375,0.8125
709,0.5775404080346008,0.734375,0.8125
710,0.5756678007875905,0.734375,0.875
711,0.5750532611508463,0.796875,0.75
712,0.5741982869990236,0.875,0.75
713,0.5742663276071901,0.875,0.9375
714,0.5749052489017957,0.78125,0.75
715,0.5782878613896683,0.90625,0.9375
716,0.5736132737895367,0.890625,0.8125
717,0.5735869583683861,0.890625,0.75
718,0.5734403502811143,0.890625,0.875
719,0.5741689266851078,0.875,0.9375
720,0.5739454678742224,0.875,0.9375
721,0.5790229190271026,0.75,0.75
722,0.5723372347125422,0.890625,0.9375
